island,cand,phase,seed,gen,declared_parent,actual_origin_op,valid_same_genome_base,evidence
2,p2g4_071_s3,seed3,966,4,p2g4_071,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_009_s3,seed3,966,4,p2g4_009,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_036_s3,seed3,966,4,p2g4_036,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_007_s2,seed2,965,5,p2g5_007,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_011_s2,seed2,965,5,p2g5_011,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_053_s2,seed2,965,5,p2g5_053,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_063_s2,seed2,965,5,p2g5_063,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_067_s2,seed2,965,5,p2g5_067,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_069_s2,seed2,965,5,p2g5_069,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_005_s2,seed2,965,5,p2g5_005,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_028_s2,seed2,965,5,p2g5_028,delete_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_002_s2,seed2,965,5,p2g5_002,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_057_s2,seed2,965,5,p2g5_057,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_004_s3,seed3,966,4,p2g4_004,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_037_s3,seed3,966,4,p2g4_037,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_057_s3,seed3,966,4,p2g4_057,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_014_s3,seed3,966,4,p2g4_014,mutate,True,explicit_single_parent_and_matching_ghash_and_model
