island,gen,C9_mode,n,status_ok,status_no_blobs,status_fail_g0a,c9_measured_n,c9_partial_n,c9_full_n,c9_missing_n,c9_mean,c9_median,c9_max,preserved_i2_mean,preserved_i2_median,descriptor_bins_observed,unique_ghashes,strict_economy_class_n,common_I025_mean,common_I025_median,common_I025_max,qualifying_025_n,qualifying_025_per_all_n,qualifying_025_descriptor_bins,qualifying_025_strict_economy_class_n,common_I040_mean,common_I040_median,common_I040_max,qualifying_040_n,qualifying_040_per_all_n,qualifying_040_descriptor_bins,qualifying_040_strict_economy_class_n
2,6,missing,16,0,10,6,0,0,0,16,,,,,,0,16,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,7,all,98,79,11,8,79,79,0,19,0.2790898734177215,0.3089,0.6864,53.901342492192235,61.69817208579123,55,98,0,47.403253704587215,53.93857106537388,77.2948817571266,22,0.22448979591836735,15,0,43.5044004320242,49.144406844222814,73.45790540570127,18,0.1836734693877551,13,0
2,7,partial,79,79,0,0,79,79,0,0,0.2790898734177215,0.3089,0.6864,53.901342492192235,61.69817208579123,55,79,0,47.403253704587215,53.93857106537388,77.2948817571266,22,0.27848101265822783,15,0,43.5044004320242,49.144406844222814,73.45790540570127,18,0.22784810126582278,13,0
2,7,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,7,missing,19,0,11,8,0,0,0,19,,,,,,0,19,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,8,all,82,80,1,1,80,80,0,2,0.32273875,0.3823,0.6535,58.14662225757757,63.3723349727939,48,70,0,51.678435443183176,57.75758475608559,78.69323214120251,27,0.32926829268292684,13,0,47.79752335454654,53.9404893611288,73.76695417353886,22,0.2682926829268293,11,0
2,8,partial,80,80,0,0,80,80,0,0,0.32273875,0.3823,0.6535,58.14662225757757,63.3723349727939,48,68,0,51.678435443183176,57.75758475608559,78.69323214120251,27,0.3375,13,0,47.79752335454654,53.9404893611288,73.76695417353886,22,0.275,11,0
2,8,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,8,missing,2,0,1,1,0,0,0,2,,,,,,0,2,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,9,all,70,67,3,0,67,67,0,3,0.2562417910447761,0.2123,0.6317,56.44105088607342,62.03225971037669,49,70,0,48.73683294067447,52.417121182914755,76.65598002918293,16,0.22857142857142856,13,0,44.1143021734351,46.24003467083804,71.25678402334633,13,0.18571428571428572,11,0
2,9,partial,67,67,0,0,67,67,0,0,0.2562417910447761,0.2123,0.6317,56.44105088607342,62.03225971037669,49,67,0,48.73683294067447,52.417121182914755,76.65598002918293,16,0.23880597014925373,13,0,44.1143021734351,46.24003467083804,71.25678402334633,13,0.19402985074626866,11,0
2,9,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,9,missing,3,0,3,0,0,0,0,3,,,,,,0,3,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,10,all,72,67,5,0,67,67,0,5,0.3344089552238806,0.3801,0.6486,56.84290490655485,60.781614936850524,49,69,0,50.992402560513156,54.178657614114854,79.23685663762029,17,0.2361111111111111,13,0,47.482101152888134,52.04461978401278,76.18748531009624,13,0.18055555555555555,9,0
2,10,partial,67,67,0,0,67,67,0,0,0.3344089552238806,0.3801,0.6486,56.84290490655485,60.781614936850524,49,64,0,50.992402560513156,54.178657614114854,79.23685663762029,17,0.2537313432835821,13,0,47.482101152888134,52.04461978401278,76.18748531009624,13,0.19402985074626866,9,0
2,10,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,10,missing,5,0,5,0,0,0,0,5,,,,,,0,5,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,11,all,68,63,2,3,63,63,0,5,0.3206079365079365,0.3903,0.7038,56.529991525261224,63.76285936776127,46,66,0,50.41269205664433,57.529648519922645,78.04895684322264,19,0.27941176470588236,13,0,46.74231237547419,51.75493579361867,76.3971654745781,17,0.25,11,0
2,11,partial,63,63,0,0,63,63,0,0,0.3206079365079365,0.3903,0.7038,56.529991525261224,63.76285936776127,46,61,0,50.41269205664433,57.529648519922645,78.04895684322264,19,0.30158730158730157,13,0,46.74231237547419,51.75493579361867,76.3971654745781,17,0.2698412698412698,11,0
2,11,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,11,missing,5,0,2,3,0,0,0,5,,,,,,0,5,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,12,all,67,65,2,0,65,65,0,2,0.2922323076923077,0.3744,0.6894,56.077160592544,62.03225971037669,46,67,0,49.363678136715684,55.07971541786385,77.35226052321562,14,0.208955223880597,10,0,45.3355886632187,51.97928450310007,74.76214560261714,13,0.19402985074626866,10,0
2,12,partial,65,65,0,0,65,65,0,0,0.2922323076923077,0.3744,0.6894,56.077160592544,62.03225971037669,46,65,0,49.363678136715684,55.07971541786385,77.35226052321562,14,0.2153846153846154,10,0,45.3355886632187,51.97928450310007,74.76214560261714,13,0.2,10,0
2,12,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
